epoch 1, loss 1.656112, train acc 0.392140, time 193.11 sec, lr 0.1\
epoch 2, loss 1.081470, train acc 0.616500, time 138.85 sec, lr 0.1\
epoch 3, loss 0.859246, train acc 0.702620, time 138.83 sec, lr 0.1\
epoch 4, loss 0.738366, train acc 0.743240, time 138.09 sec, lr 0.1\
epoch 5, loss 0.661614, train acc 0.770140, time 138.18 sec, lr 0.1\
epoch 6, loss 0.607905, train acc 0.788820, time 138.64 sec, lr 0.1\
epoch 7, loss 0.564046, train acc 0.804520, time 137.82 sec, lr 0.1\
epoch 8, loss 0.530162, train acc 0.817940, time 137.52 sec, lr 0.1\
epoch 9, loss 0.500917, train acc 0.825220, time 137.57 sec, lr 0.1\
epoch 10, loss 0.480484, train acc 0.834420, time 137.09 sec, lr 0.1\
epoch 11, loss 0.465164, train acc 0.839660, time 137.13 sec, lr 0.1\
epoch 12, loss 0.441030, train acc 0.849040, time 137.21 sec, lr 0.1\
epoch 13, loss 0.427432, train acc 0.851180, time 137.15 sec, lr 0.1\
epoch 14, loss 0.411341, train acc 0.858820, time 137.25 sec, lr 0.1\
epoch 15, loss 0.397936, train acc 0.863540, time 138.29 sec, lr 0.1\
epoch 16, loss 0.385147, train acc 0.866660, time 138.50 sec, lr 0.1\
epoch 17, loss 0.382133, train acc 0.866300, time 138.45 sec, lr 0.1\
epoch 18, loss 0.369933, train acc 0.871780, time 138.22 sec, lr 0.1\
epoch 19, loss 0.360597, train acc 0.875440, time 138.27 sec, lr 0.1\
epoch 20, loss 0.353500, train acc 0.876760, time 137.21 sec, lr 0.1\
epoch 21, loss 0.347878, train acc 0.878760, time 136.55 sec, lr 0.1\
epoch 22, loss 0.343414, train acc 0.880700, time 136.97 sec, lr 0.1\
epoch 23, loss 0.335508, train acc 0.883580, time 136.63 sec, lr 0.1\
epoch 24, loss 0.333105, train acc 0.882560, time 136.64 sec, lr 0.1\
epoch 25, loss 0.319959, train acc 0.889040, time 138.05 sec, lr 0.1\
epoch 26, loss 0.316751, train acc 0.889940, time 138.17 sec, lr 0.1\
epoch 27, loss 0.319672, train acc 0.889360, time 138.14 sec, lr 0.1\
epoch 28, loss 0.314401, train acc 0.889660, time 137.82 sec, lr 0.1\
epoch 29, loss 0.309025, train acc 0.892780, time 137.69 sec, lr 0.1\
epoch 30, loss 0.305174, train acc 0.893220, time 137.16 sec, lr 0.1\
epoch 31, loss 0.299358, train acc 0.895480, time 137.96 sec, lr 0.1\
epoch 32, loss 0.301809, train acc 0.894340, time 137.87 sec, lr 0.1\
epoch 33, loss 0.286452, train acc 0.901400, time 136.04 sec, lr 0.1\
epoch 34, loss 0.293336, train acc 0.896260, time 136.16 sec, lr 0.1\
epoch 35, loss 0.280032, train acc 0.901960, time 135.78 sec, lr 0.1\
epoch 36, loss 0.287821, train acc 0.899060, time 136.08 sec, lr 0.1\
epoch 37, loss 0.281161, train acc 0.901520, time 136.53 sec, lr 0.1\
epoch 38, loss 0.274488, train acc 0.902960, time 135.72 sec, lr 0.1\
epoch 39, loss 0.278091, train acc 0.902720, time 136.11 sec, lr 0.1\
epoch 40, loss 0.273705, train acc 0.904240, time 137.39 sec, lr 0.1\
epoch 41, loss 0.273437, train acc 0.904300, time 137.54 sec, lr 0.1\
epoch 42, loss 0.268315, train acc 0.907140, time 137.77 sec, lr 0.1\
epoch 43, loss 0.266232, train acc 0.906360, time 137.85 sec, lr 0.1\
epoch 44, loss 0.268858, train acc 0.906960, time 138.18 sec, lr 0.1\
