epoch 1, loss 2.392159, train acc 0.149960, time 58.49 sec, lr 0.1\
epoch 2, loss 1.899275, train acc 0.308140, time 56.06 sec, lr 0.1\
epoch 3, loss 1.655584, train acc 0.401540, time 56.16 sec, lr 0.1\
epoch 4, loss 1.414079, train acc 0.494260, time 56.21 sec, lr 0.1\
epoch 5, loss 1.176829, train acc 0.586040, time 56.41 sec, lr 0.1\
epoch 6, loss 0.981766, train acc 0.655420, time 56.42 sec, lr 0.1\
epoch 7, loss 0.840443, train acc 0.706300, time 56.13 sec, lr 0.1\
epoch 8, loss 0.742872, train acc 0.740880, time 56.39 sec, lr 0.1\
epoch 9, loss 0.669286, train acc 0.767320, time 56.75 sec, lr 0.1\
epoch 10, loss 0.619769, train acc 0.784840, time 56.96 sec, lr 0.1\
epoch 11, loss 0.565232, train acc 0.803480, time 55.97 sec, lr 0.1\
epoch 12, loss 0.523412, train acc 0.819020, time 56.00 sec, lr 0.1\
epoch 13, loss 0.494675, train acc 0.828140, time 56.22 sec, lr 0.1\
epoch 14, loss 0.460901, train acc 0.839180, time 56.13 sec, lr 0.1\
epoch 15, loss 0.434155, train acc 0.849100, time 56.30 sec, lr 0.1\
epoch 16, loss 0.409822, train acc 0.858020, time 56.71 sec, lr 0.1\
epoch 17, loss 0.394220, train acc 0.862160, time 56.39 sec, lr 0.1\
epoch 18, loss 0.371453, train acc 0.869640, time 56.32 sec, lr 0.1\
epoch 19, loss 0.356544, train acc 0.875860, time 56.26 sec, lr 0.1\
epoch 20, loss 0.338027, train acc 0.882760, time 56.41 sec, lr 0.1\
epoch 21, loss 0.331282, train acc 0.885120, time 56.73 sec, lr 0.1\
epoch 22, loss 0.318651, train acc 0.888180, time 56.30 sec, lr 0.1\
epoch 23, loss 0.305496, train acc 0.895160, time 56.32 sec, lr 0.1\
epoch 24, loss 0.293067, train acc 0.898200, time 56.34 sec, lr 0.1\
epoch 25, loss 0.288362, train acc 0.899280, time 56.59 sec, lr 0.1\
epoch 26, loss 0.279483, train acc 0.904160, time 56.45 sec, lr 0.1\
epoch 27, loss 0.271661, train acc 0.904940, time 56.92 sec, lr 0.1\
